Fund Code,Quantity,Purchase Price,Purchase Date
IVY,1831,5.46,2025-12-31
AN1,13,82.51,2025-12-31
IML,364,1.37,2025-12-31
G09,542,1.84,2025-12-31
IOG,85,11.64,2025-12-31
HAM,376,2.66,2025-12-31
YZG,91,10.92,2025-12-31
BLT,680,1.47,2025-12-31
PPS,9093,3.52,2025-12-31
FJB,2216,5.86,2025-12-31
NKC,32218,1.04,2025-12-31
ST1,28,181.99,2025-12-31
MJG,391,7.65,2025-12-31
NTI,4337,1.18,2025-12-31
FDG,2061,1.99,2025-12-31
GZE,1860,5.91,2025-12-31
IIE,1522,10.10,2025-12-31
SBH,3994,1.28,2025-12-31
ADE,9682,0.77,2025-12-31
HKM,2061,4.50,2025-12-31
TLY,13,1766.15,2025-12-31
JET,2655,1.92,2025-12-31
URA,11111,1.53,2025-12-31
PPH,3532,1.42,2025-12-31
FRC,3922,1.39,2025-12-31
BDS,4220,2.37,2025-12-31
DFI,8041,1.66,2025-12-31
FBV,2069,5.89,2025-12-31
THF,3894,1.54,2025-12-31
ULH,35,5.59,2025-12-31
NNF,940,20.95,2025-12-31
KHA,13626,2.27,2025-12-31
RIK,10412,4.62,2025-12-31
MHF,7956,1.51,2025-12-31
RTP,2308,11.68,2025-12-31
MD2,6558,1.52,2025-12-31
MTH,43726,1.59,2025-12-31
FSU,58173,1.04,2025-12-31
GBV,3685,9.51,2025-12-31
TPC,3762,12.34,2025-12-31
DCB,2699,3.70,2025-12-31
OTJ,1997,6.84,2025-12-31
SVB,505,8.11,2025-12-31
MOZ,18939,1.06,2025-12-31